SNo,Batsman,Team,Runs,Highest
1,K L Rahul,KXI,670,132*
2,S Dhawan,DC,618,106*
3,David Warner,SRH,548,85*
4,Shreyas Iyer,DC,519,88*
5,Ishan Kishan,MI,516,99
